Company Name,Website,Industry
Zapier,zapier.com,SaaS
Miro,miro.com,SaaS
Notion,notion.so,SaaS
HubSpot,hubspot.com,CRM
Mailchimp,mailchimp.com,Marketing
Figma,figma.com,Design Software
Slack,slack.com,Communication
Asana,asana.com,Productivity
Canva,canva.com,Design
 monday.com,monday.com,Project Management
ClickUp,clickup.com,Project Management
Zoom,zoom.us,Communication
Stripe,stripe.com,Fintech
Shopify,shopify.com,E-commerce
Grammarly,grammarly.com,AI Writing Assistant
Pipedrive,pipedrive.com,CRM
Airtable,airtable.com,Low-code
Typeform,typeform.com,Forms & Surveys
Wix,wix.com,Website Builder
